上櫃股票行情(含等價、零股、盤後、鉅額交易)
資料日期:110/05/21
代號,名稱,收盤 ,漲跌,開盤 ,最高 ,最低,均價 ,成交股數  ,成交金額(元),成交筆數 ,最後買價,最後買量(千股),最後賣價,最後賣量(千股),發行股數 ,次日參考價 , 次日漲停價 ,次日跌停價
"006201","元大富櫃50","17.85","+0.33","17.74","17.92","17.74","17.79","27,190","483,830","18","17.77","74","17.85","6","13,446,000","17.85","19.63","16.07"
"00679B","元大美債20年","38.87","+0.23","38.94","38.94","38.82","38.88","186,054","7,234,432","86","38.87","1","38.88","3","533,192,000","38.87","9999.95","0.01"
"00687B","國泰20年美債","40.76","+0.24","40.67","40.76","40.67","40.75","41,349","1,684,951","11","40.75","109","40.81","1","182,287,000","40.76","9999.95","0.01"
"00694B","富邦美債1-3","37.35","-0.02 ","37.49","37.49","37.34","37.44","241,085","9,025,055","19","37.34","20","37.41","95","165,076,000","37.35","9999.95","0.01"
"00695B","富邦美債7-10","36.77","+0.10","36.81","36.81","36.67","36.76","194,777","7,160,870","22","36.71","50","36.75","1","12,186,000","36.77","9999.95","0.01"
"00696B","富邦美債20年","40.70","+0.28","40.66","40.72","40.62","40.69","282,895","11,511,992","40","40.70","1","40.74","5","618,681,000","40.70","9999.95","0.01"
"00697B","元大美債7-10","39.10","+0.08","39.08","39.12","39.08","39.11","192,006","7,509,413","6","39.05","20","39.10","2","7,212,000","39.10","9999.95","0.01"
"00718B","富邦中國政策債","19.71","+0.04","19.71","19.72","19.68","19.72","293,177","5,780,549","20","19.71","28","19.72","8","1,160,001,000","19.71","9999.95","0.01"
"00719B","元大美債1-3","30.15","-0.01 ","30.14","30.15","30.14","30.14","121,000","3,646,950","4","30.14","4","30.17","20","510,014,000","30.15","9999.95","0.01"
"00720B","元大投資級公司債","42.06","+0.34","41.99","42.09","41.99","42.06","120,230","5,057,361","22","42.03","20","42.06","1","694,609,000","42.06","9999.95","0.01"
"00721B","元大中國債3-5","45.24","+0.12","45.12","45.24","45.12","45.23","181,063","8,190,162","5","45.24","20","45.25","1","405,622,000","45.24","9999.95","0.01"
"00722B","群益15年IG電信債","44.92","+0.32","44.92","44.96","44.88","44.94","524,249","23,558,249","18","44.92","46","44.97","10","918,239,000","44.92","9999.95","0.01"
"00723B","群益15年IG科技債","40.51","+0.34","40.43","40.51","40.43","40.50","111,000","4,495,780","6","40.42","10","40.45","1","805,083,000","40.51","9999.95","0.01"
"00724B","群益10年IG金融債","40.63","+0.37","40.68","40.71","40.59","40.64","120,196","4,884,494","23","40.60","1","40.63","1","1,465,275,000","40.63","9999.95","0.01"
"00725B","國泰投資級公司債","42.57","+0.26","42.53","42.57","42.53","42.57","104,000","4,427,240","5","42.58","10","42.60","1","994,206,000","42.57","9999.95","0.01"
"00726B","國泰5Y+新興債","41.20","+0.09","41.23","41.23","41.20","41.20","101,000","4,161,230","3","41.13","17","41.15","1","1,125,989,000","41.20","9999.95","0.01"
"00727B","國泰1-5Y高收債","38.20","-0.01 ","38.20","38.20","38.15","38.19","153,020","5,843,814","43","38.20","1","38.22","18","111,689,000","38.20","9999.95","0.01"
"00734B","台新JPM新興債","19.20","+0.01","19.24","19.24","19.20","19.23","1,008,100","19,385,110","21","19.19","101","19.20","3","22,979,000","19.20","9999.95","0.01"
"00740B","富邦全球投等債","45.59","+0.26","45.51","45.59","45.51","45.58","110,100","5,018,100","8","45.51","1","45.60","10","696,471,000","45.59","9999.95","0.01"
"00741B","富邦全球高收債","37.45","+0.05","37.39","37.45","37.39","37.45","106,005","3,969,647","10","37.40","1","37.43","3","8,128,000","37.45","9999.95","0.01"
"00744B","國泰中國政金債5+","41.61","-0.04 ","41.65","41.65","41.61","41.64","220,000","9,160,050","11","41.58","10","41.60","2","754,728,000","41.61","9999.95","0.01"
"00745B","富邦中政債0-1","40.64","-0.01 ","40.64","40.64","40.64","40.64","100,000","4,064,000","4","40.53","30","40.65","9","4,016,000","40.64","9999.95","0.01"
"00746B","富邦A級公司債","42.73","+0.18","42.87","42.87","42.70","42.75","156,000","6,669,480","11","42.64","10","42.73","8","861,964,000","42.73","9999.95","0.01"
"00747B","FH中國政策債","50.95","+0.15","50.95","50.95","50.95","50.95","100,000","5,095,000","2","50.85","13","50.90","1","686,000,000","50.95","9999.95","0.01"
"00748B","凱基中國債3-10","41.70","+0.10","41.70","41.70","41.70","41.70","100,000","4,170,000","2","41.65","5","41.70","1","621,500,000","41.70","9999.95","0.01"
"00749B","凱基新興債10+","41.72","-0.03 ","41.72","41.72","41.72","41.72","100,000","4,172,000","2","41.65","13","41.70","1","955,500,000","41.72","9999.95","0.01"
"00750B","凱基科技債10+","41.62","+0.29","41.62","41.62","41.62","41.62","105,000","4,370,100","5","41.54","11","41.60","1","54,500,000","41.62","9999.95","0.01"
"00751B","元大AAA至A公司債","42.73","+0.30","42.63","42.76","42.63","42.72","181,316","7,745,828","33","42.72","1","42.76","3","1,179,603,000","42.73","9999.95","0.01"
"00754B","群益AAA-AA公司債","43.85","+0.29","43.83","43.88","43.83","43.88","105,000","4,607,200","7","43.85","11","43.86","1","181,900,000","43.85","9999.95","0.01"
"00755B","群益15年IG公用債","42.02","+0.35","42.01","42.04","41.99","42.02","123,100","5,172,480","12","41.98","50","42.07","2","123,730,000","42.02","9999.95","0.01"
